id,Category,Question,Difficulty,Status
330,NLP,What is sentiment analysis — What trade-offs should an engineer consider? (Variant 3),Hard,Not Practiced
331,Generative AI / LLM,What is generative AI?,Easy,Not Practiced
332,Generative AI / LLM,What is an LLM?,Easy,Not Practiced
333,Generative AI / LLM,What is a token?,Medium,Not Practiced
334,Generative AI / LLM,What is a context window?,Medium,Not Practiced
335,Generative AI / LLM,What is a transformer?,Hard,Not Practiced
336,Generative AI / LLM,What is self-attention?,Easy,Not Practiced
337,Generative AI / LLM,"What are query, key and value vectors?",Easy,Not Practiced
338,Generative AI / LLM,What is positional encoding?,Medium,Not Practiced
339,Generative AI / LLM,What is temperature?,Medium,Not Practiced
340,Generative AI / LLM,What is prompt engineering?,Hard,Not Practiced
341,Generative AI / LLM,What is generative AI — Explain it with a practical AI/ML example.,Easy,Not Practiced
342,Generative AI / LLM,What is an LLM — What are common interview mistakes about this topic?,Easy,Not Practiced
343,Generative AI / LLM,What is a token — How would you implement it in a real project?,Medium,Not Practiced
344,Generative AI / LLM,What is a context window — What are its advantages and limitations?,Medium,Not Practiced
345,Generative AI / LLM,What is a transformer — How would you debug a problem related to it?,Hard,Not Practiced
346,Generative AI / LLM,What is self-attention — Compare it with the closest alternative.,Easy,Not Practiced
347,Generative AI / LLM,"What are query, key and value vectors — When would you choose it in production?",Easy,Not Practiced
348,Generative AI / LLM,What is positional encoding — What trade-offs should an engineer consider?,Medium,Not Practiced
349,Generative AI / LLM,What is temperature — How would you explain it to a non-technical stakeholder?,Medium,Not Practiced
350,Generative AI / LLM,What is prompt engineering — What follow-up question might an interviewer ask?,Hard,Not Practiced
351,Generative AI / LLM,What is generative AI — Explain it with a practical AI/ML example. (Variant 3),Easy,Not Practiced
352,Generative AI / LLM,What is an LLM — What are its advantages and limitations? (Variant 3),Easy,Not Practiced
353,Generative AI / LLM,What is a token — When would you choose it in production? (Variant 3),Medium,Not Practiced
354,Generative AI / LLM,What is a context window — What follow-up question might an interviewer ask? (Variant 3),Medium,Not Practiced
355,Generative AI / LLM,What is a transformer — How would you implement it in a real project? (Variant 3),Hard,Not Practiced
356,Generative AI / LLM,What is self-attention — Compare it with the closest alternative. (Variant 3),Easy,Not Practiced
357,Generative AI / LLM,"What are query, key and value vectors — How would you explain it to a non-technical stakeholder? (Variant 3)",Easy,Not Practiced
358,Generative AI / LLM,What is positional encoding — What are common interview mistakes about this topic? (Variant 3),Medium,Not Practiced
359,Generative AI / LLM,What is temperature — How would you debug a problem related to it? (Variant 3),Medium,Not Practiced
360,Generative AI / LLM,What is prompt engineering — What trade-offs should an engineer consider? (Variant 3),Hard,Not Practiced
361,Generative AI / LLM,What is generative AI — Explain it with a practical AI/ML example. (Variant 4),Easy,Not Practiced
362,Generative AI / LLM,What is an LLM — What are its advantages and limitations? (Variant 4),Easy,Not Practiced
363,Generative AI / LLM,What is a token — When would you choose it in production? (Variant 4),Medium,Not Practiced
364,Generative AI / LLM,What is a context window — What follow-up question might an interviewer ask? (Variant 4),Medium,Not Practiced
365,Generative AI / LLM,What is a transformer — How would you implement it in a real project? (Variant 4),Hard,Not Practiced
366,Generative AI / LLM,What is self-attention — Compare it with the closest alternative. (Variant 4),Easy,Not Practiced
367,Generative AI / LLM,"What are query, key and value vectors — How would you explain it to a non-technical stakeholder? (Variant 4)",Easy,Not Practiced
368,Generative AI / LLM,What is positional encoding — What are common interview mistakes about this topic? (Variant 4),Medium,Not Practiced
369,Generative AI / LLM,What is temperature — How would you debug a problem related to it? (Variant 4),Medium,Not Practiced
370,Generative AI / LLM,What is prompt engineering — What trade-offs should an engineer consider? (Variant 4),Hard,Not Practiced
371,Generative AI / LLM,What is generative AI — Explain it with a practical AI/ML example. (Variant 5),Easy,Not Practiced
372,Generative AI / LLM,What is an LLM — What are its advantages and limitations? (Variant 5),Easy,Not Practiced
373,Generative AI / LLM,What is a token — When would you choose it in production? (Variant 5),Medium,Not Practiced
374,Generative AI / LLM,What is a context window — What follow-up question might an interviewer ask? (Variant 5),Medium,Not Practiced
375,Generative AI / LLM,What is a transformer — How would you implement it in a real project? (Variant 5),Hard,Not Practiced
376,Generative AI / LLM,What is self-attention — Compare it with the closest alternative. (Variant 5),Easy,Not Practiced
377,Generative AI / LLM,"What are query, key and value vectors — How would you explain it to a non-technical stakeholder? (Variant 5)",Easy,Not Practiced
378,Generative AI / LLM,What is positional encoding — What are common interview mistakes about this topic? (Variant 5),Medium,Not Practiced
379,Generative AI / LLM,What is temperature — How would you debug a problem related to it? (Variant 5),Medium,Not Practiced
380,Generative AI / LLM,What is prompt engineering — What trade-offs should an engineer consider? (Variant 5),Hard,Not Practiced
381,Generative AI / LLM,What is generative AI — Explain it with a practical AI/ML example. (Variant 6),Easy,Not Practiced
382,Generative AI / LLM,What is an LLM — What are its advantages and limitations? (Variant 6),Easy,Not Practiced
383,Generative AI / LLM,What is a token — When would you choose it in production? (Variant 6),Medium,Not Practiced
384,Generative AI / LLM,What is a context window — What follow-up question might an interviewer ask? (Variant 6),Medium,Not Practiced
385,Generative AI / LLM,What is a transformer — How would you implement it in a real project? (Variant 6),Hard,Not Practiced
386,Generative AI / LLM,What is self-attention — Compare it with the closest alternative. (Variant 6),Easy,Not Practiced
387,Generative AI / LLM,"What are query, key and value vectors — How would you explain it to a non-technical stakeholder? (Variant 6)",Easy,Not Practiced
388,Generative AI / LLM,What is positional encoding — What are common interview mistakes about this topic? (Variant 6),Medium,Not Practiced
389,Generative AI / LLM,What is temperature — How would you debug a problem related to it? (Variant 6),Medium,Not Practiced
390,Generative AI / LLM,What is prompt engineering — What trade-offs should an engineer consider? (Variant 6),Hard,Not Practiced
391,RAG / Vector DB,What is RAG?,Easy,Not Practiced
392,RAG / Vector DB,Why use RAG?,Easy,Not Practiced
393,RAG / Vector DB,What is an embedding?,Medium,Not Practiced
394,RAG / Vector DB,What is a vector database?,Medium,Not Practiced
395,RAG / Vector DB,What is semantic search?,Hard,Not Practiced
396,RAG / Vector DB,What is cosine similarity?,Easy,Not Practiced
397,RAG / Vector DB,What is chunking?,Easy,Not Practiced
398,RAG / Vector DB,What is chunk overlap?,Medium,Not Practiced
399,RAG / Vector DB,What is hybrid search?,Medium,Not Practiced
400,RAG / Vector DB,What is a reranker?,Hard,Not Practiced
401,RAG / Vector DB,What is RAG — Explain it with a practical AI/ML example.,Easy,Not Practiced
402,RAG / Vector DB,Why use RAG — What are common interview mistakes about this topic?,Easy,Not Practiced
403,RAG / Vector DB,What is an embedding — How would you implement it in a real project?,Medium,Not Practiced
404,RAG / Vector DB,What is a vector database — What are its advantages and limitations?,Medium,Not Practiced
405,RAG / Vector DB,What is semantic search — How would you debug a problem related to it?,Hard,Not Practiced
406,RAG / Vector DB,What is cosine similarity — Compare it with the closest alternative.,Easy,Not Practiced
407,RAG / Vector DB,What is chunking — When would you choose it in production?,Easy,Not Practiced
408,RAG / Vector DB,What is chunk overlap — What trade-offs should an engineer consider?,Medium,Not Practiced
409,RAG / Vector DB,What is hybrid search — How would you explain it to a non-technical stakeholder?,Medium,Not Practiced
410,RAG / Vector DB,What is a reranker — What follow-up question might an interviewer ask?,Hard,Not Practiced
411,RAG / Vector DB,What is RAG — Explain it with a practical AI/ML example. (Variant 3),Easy,Not Practiced
412,RAG / Vector DB,Why use RAG — What are its advantages and limitations? (Variant 3),Easy,Not Practiced
413,RAG / Vector DB,What is an embedding — When would you choose it in production? (Variant 3),Medium,Not Practiced
414,RAG / Vector DB,What is a vector database — What follow-up question might an interviewer ask? (Variant 3),Medium,Not Practiced
415,RAG / Vector DB,What is semantic search — How would you implement it in a real project? (Variant 3),Hard,Not Practiced
416,RAG / Vector DB,What is cosine similarity — Compare it with the closest alternative. (Variant 3),Easy,Not Practiced
417,RAG / Vector DB,What is chunking — How would you explain it to a non-technical stakeholder? (Variant 3),Easy,Not Practiced
418,RAG / Vector DB,What is chunk overlap — What are common interview mistakes about this topic? (Variant 3),Medium,Not Practiced
419,RAG / Vector DB,What is hybrid search — How would you debug a problem related to it? (Variant 3),Medium,Not Practiced
420,RAG / Vector DB,What is a reranker — What trade-offs should an engineer consider? (Variant 3),Hard,Not Practiced
421,RAG / Vector DB,What is RAG — Explain it with a practical AI/ML example. (Variant 4),Easy,Not Practiced
422,RAG / Vector DB,Why use RAG — What are its advantages and limitations? (Variant 4),Easy,Not Practiced
423,RAG / Vector DB,What is an embedding — When would you choose it in production? (Variant 4),Medium,Not Practiced
424,RAG / Vector DB,What is a vector database — What follow-up question might an interviewer ask? (Variant 4),Medium,Not Practiced
425,RAG / Vector DB,What is semantic search — How would you implement it in a real project? (Variant 4),Hard,Not Practiced
426,LangChain / LangGraph,What problem does LangChain solve?,Easy,Not Practiced
427,LangChain / LangGraph,What is a document loader?,Easy,Not Practiced
428,LangChain / LangGraph,What is a text splitter?,Medium,Not Practiced
429,LangChain / LangGraph,What is a retriever?,Medium,Not Practiced
430,LangChain / LangGraph,What is a prompt template?,Hard,Not Practiced
431,LangChain / LangGraph,What is an output parser?,Easy,Not Practiced
432,LangChain / LangGraph,What is a chain?,Easy,Not Practiced
433,LangChain / LangGraph,What is LCEL?,Medium,Not Practiced
434,LangChain / LangGraph,What is LangGraph?,Medium,Not Practiced
435,LangChain / LangGraph,What is state in LangGraph?,Hard,Not Practiced
436,LangChain / LangGraph,What problem does LangChain solve — Explain it with a practical AI/ML example.,Easy,Not Practiced
437,LangChain / LangGraph,What is a document loader — What are common interview mistakes about this topic?,Easy,Not Practiced
438,LangChain / LangGraph,What is a text splitter — How would you implement it in a real project?,Medium,Not Practiced
439,LangChain / LangGraph,What is a retriever — What are its advantages and limitations?,Medium,Not Practiced
440,LangChain / LangGraph,What is a prompt template — How would you debug a problem related to it?,Hard,Not Practiced
441,LangChain / LangGraph,What is an output parser — Compare it with the closest alternative.,Easy,Not Practiced
442,LangChain / LangGraph,What is a chain — When would you choose it in production?,Easy,Not Practiced
443,LangChain / LangGraph,What is LCEL — What trade-offs should an engineer consider?,Medium,Not Practiced
444,LangChain / LangGraph,What is LangGraph — How would you explain it to a non-technical stakeholder?,Medium,Not Practiced
445,LangChain / LangGraph,What is state in LangGraph — What follow-up question might an interviewer ask?,Hard,Not Practiced
446,LangChain / LangGraph,What problem does LangChain solve — Explain it with a practical AI/ML example. (Variant 3),Easy,Not Practiced
447,LangChain / LangGraph,What is a document loader — What are its advantages and limitations? (Variant 3),Easy,Not Practiced
448,LangChain / LangGraph,What is a text splitter — When would you choose it in production? (Variant 3),Medium,Not Practiced
449,LangChain / LangGraph,What is a retriever — What follow-up question might an interviewer ask? (Variant 3),Medium,Not Practiced
450,LangChain / LangGraph,What is a prompt template — How would you implement it in a real project? (Variant 3),Hard,Not Practiced
451,Deployment / APIs / Docker,What is an API?,Easy,Not Practiced
452,Deployment / APIs / Docker,What is REST?,Easy,Not Practiced
453,Deployment / APIs / Docker,What is FastAPI?,Medium,Not Practiced
454,Deployment / APIs / Docker,How do you expose an ML model through FastAPI?,Medium,Not Practiced
455,Deployment / APIs / Docker,What is request validation?,Hard,Not Practiced
456,Deployment / APIs / Docker,What is Docker?,Easy,Not Practiced
457,Deployment / APIs / Docker,What is a Docker image?,Easy,Not Practiced
458,Deployment / APIs / Docker,What is a Docker container?,Medium,Not Practiced
459,Deployment / APIs / Docker,What is a Dockerfile?,Medium,Not Practiced
460,Deployment / APIs / Docker,How do you deploy Streamlit?,Hard,Not Practiced
461,Deployment / APIs / Docker,What is an API — Explain it with a practical AI/ML example.,Easy,Not Practiced
462,Deployment / APIs / Docker,What is REST — What are common interview mistakes about this topic?,Easy,Not Practiced
463,Deployment / APIs / Docker,What is FastAPI — How would you implement it in a real project?,Medium,Not Practiced
464,Deployment / APIs / Docker,How do you expose an ML model through FastAPI — What are its advantages and limitations?,Medium,Not Practiced
465,Deployment / APIs / Docker,What is request validation — How would you debug a problem related to it?,Hard,Not Practiced
466,Deployment / APIs / Docker,What is Docker — Compare it with the closest alternative.,Easy,Not Practiced
467,Deployment / APIs / Docker,What is a Docker image — When would you choose it in production?,Easy,Not Practiced
468,Deployment / APIs / Docker,What is a Docker container — What trade-offs should an engineer consider?,Medium,Not Practiced
469,Deployment / APIs / Docker,What is a Dockerfile — How would you explain it to a non-technical stakeholder?,Medium,Not Practiced
470,Deployment / APIs / Docker,How do you deploy Streamlit — What follow-up question might an interviewer ask?,Hard,Not Practiced
471,Projects / Real-world Scenarios,How do you explain an AI/ML project end-to-end?,Easy,Not Practiced
472,Projects / Real-world Scenarios,What business problem did your project solve?,Easy,Not Practiced
473,Projects / Real-world Scenarios,How did you validate your data?,Medium,Not Practiced
474,Projects / Real-world Scenarios,How did you choose the model?,Medium,Not Practiced
475,Projects / Real-world Scenarios,Which metrics did you use?,Hard,Not Practiced
476,Projects / Real-world Scenarios,What was your hardest technical challenge?,Easy,Not Practiced
477,Projects / Real-world Scenarios,How did you handle missing data?,Easy,Not Practiced
478,Projects / Real-world Scenarios,How did you prevent data leakage?,Medium,Not Practiced
479,Projects / Real-world Scenarios,How did you improve model performance?,Medium,Not Practiced
480,Projects / Real-world Scenarios,How would you productionize the project?,Hard,Not Practiced
481,Projects / Real-world Scenarios,How do you explain an AI/ML project end-to-end — Explain it with a practical AI/ML example.,Easy,Not Practiced
482,Projects / Real-world Scenarios,What business problem did your project solve — What are common interview mistakes about this topic?,Easy,Not Practiced
483,Projects / Real-world Scenarios,How did you validate your data — How would you implement it in a real project?,Medium,Not Practiced
484,Projects / Real-world Scenarios,How did you choose the model — What are its advantages and limitations?,Medium,Not Practiced
485,Projects / Real-world Scenarios,Which metrics did you use — How would you debug a problem related to it?,Hard,Not Practiced
486,Projects / Real-world Scenarios,What was your hardest technical challenge — Compare it with the closest alternative.,Easy,Not Practiced
487,Projects / Real-world Scenarios,How did you handle missing data — When would you choose it in production?,Easy,Not Practiced
488,Projects / Real-world Scenarios,How did you prevent data leakage — What trade-offs should an engineer consider?,Medium,Not Practiced
489,Projects / Real-world Scenarios,How did you improve model performance — How would you explain it to a non-technical stakeholder?,Medium,Not Practiced
490,Projects / Real-world Scenarios,How would you productionize the project — What follow-up question might an interviewer ask?,Hard,Not Practiced
491,HR / Behavioral,Tell me about yourself.,Easy,Not Practiced
492,HR / Behavioral,Why do you want this AI/ML Engineer role?,Easy,Not Practiced
493,HR / Behavioral,Why are you looking for a job change?,Medium,Not Practiced
494,HR / Behavioral,What are your strengths?,Medium,Not Practiced
495,HR / Behavioral,What skill are you improving?,Hard,Not Practiced
496,HR / Behavioral,Tell me about a challenging project.,Easy,Not Practiced
497,HR / Behavioral,How do you handle deadlines?,Easy,Not Practiced
498,HR / Behavioral,Where do you see yourself in five years?,Medium,Not Practiced
499,HR / Behavioral,Why should we hire you?,Medium,Not Practiced
500,HR / Behavioral,What are your salary expectations?,Hard,Not Practiced
